epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2293.81,1.1961,1.11609,0.01552,0.83915,0.62763,0.66641,0.4928,1.07979,0.98521,0.02237,0.0087922,0.0087922,0.0087922
63,2330.69,1.20434,1.08044,0.01524,0.81153,0.56729,0.6601,0.47946,1.08935,1.07528,0.02344,0.0087724,0.0087724,0.0087724
64,2367.53,1.18976,1.12725,0.01552,0.79589,0.60856,0.67822,0.49924,1.06282,0.96587,0.02244,0.0087526,0.0087526,0.0087526
65,2404.36,1.17503,1.08746,0.0153,0.6452,0.70781,0.70003,0.50683,1.07738,0.89146,0.02208,0.0087328,0.0087328,0.0087328
66,2441.43,1.18728,1.06857,0.01525,0.80256,0.60736,0.65743,0.48248,1.0397,0.97395,0.02155,0.008713,0.008713,0.008713
67,2478.23,1.19205,1.08434,0.01503,0.84664,0.57537,0.69623,0.51499,1.06926,0.95727,0.0222,0.0086932,0.0086932,0.0086932
68,2514.92,1.17988,1.07419,0.01513,0.80172,0.57818,0.67119,0.50084,1.03219,0.91158,0.02152,0.0086734,0.0086734,0.0086734
69,2551.89,1.17274,1.06919,0.01504,0.8038,0.55964,0.66115,0.47367,1.07951,1.11585,0.02295,0.0086536,0.0086536,0.0086536
70,2588.46,1.17633,1.04636,0.01505,0.90746,0.59524,0.71974,0.53485,1.08255,0.91022,0.02285,0.0086338,0.0086338,0.0086338
71,2625.35,1.17204,1.0673,0.01498,0.82607,0.60426,0.71686,0.54599,1.00219,0.86784,0.02063,0.008614,0.008614,0.008614
72,2661.99,1.16323,1.06424,0.01465,0.81407,0.59871,0.70866,0.53256,1.06524,0.95238,0.02256,0.0085942,0.0085942,0.0085942
73,2699.02,1.16754,1.016,0.01476,0.76493,0.65511,0.66585,0.48977,1.0763,0.98071,0.02252,0.0085744,0.0085744,0.0085744
74,2735.9,1.16407,1.0129,0.01505,0.66814,0.61758,0.66766,0.48474,1.05454,0.9044,0.02205,0.0085546,0.0085546,0.0085546
75,2772.92,1.16369,1.06101,0.01504,0.85099,0.6302,0.75119,0.56944,1.04624,0.89027,0.02125,0.0085348,0.0085348,0.0085348
76,2809.7,1.16506,1.02862,0.01467,0.72384,0.69103,0.7102,0.52294,1.12984,0.91628,0.02354,0.008515,0.008515,0.008515
